id,customer_name,customer_email,customer_address,total_amount,total_weight,status,date
1,Kenneth,Kenneth@name.email,3015 Pittsburgh Mills Blvd Tarentum PA 15084,1,1,open,2020-08-14
2,Joshua,Joshua@name.email,121 Wakelon St Zebulon NE 27597,1,1,open,2020-11-20
3,Anthony,Anthony@name.email,2724 W Deyoung St Marion IN 62959,1,1,open,2018-01-15
4,Brian,Brian@name.email,107 Trosclair Ln Dulac LA 70353,1,1,closed,2020-09-19
5,Jason,Jason@name.email,1545 Belcher Rd S Clearwater FL 33764,1,1,closed,2020-02-11
6,William,William@name.email,17611 NE 70th St # 101 Redmond WA 98052,1,1,closed,2018-09-28
7,Christopher,Christopher@name.email,58080 Twentynine Palms Hwy Yucca Valley CA 92284,1,1,closed,2018-10-18
8,Kenneth,Kenneth@name.email,3015 Pittsburgh Mills Blvd Tarentum PA 15084,1,1,closed,2018-06-08
9,Nicholas,Nicholas@name.email,3614 S 31st St Temple TX 76502,1,1,open,2019-10-16
10,Edward,Edward@name.email,382 3rd Ave New York ND 10016,1,1,closed,2019-04-23
11,Richard,Richard@name.email,200 N 15th St # 8 Corsicana TX 75110,1,1,open,2018-09-16
12,Kevin,Kevin@name.email,598 Madison Ave New York City ND 10022,1,1,closed,2018-07-19
13,Richard,Richard@name.email,200 N 15th St # 8 Corsicana TX 75110,1,1,open,2018-07-09
14,Kevin,Kevin@name.email,598 Madison Ave New York City ND 10022,1,1,closed,2020-07-21
15,Ryan,Ryan@name.email,215 Annis Rd South Amherst OH 44001,1,1,closed,2020-06-06
16,James,James@name.email,37273 some road realtown KS 69274,1,1,closed,2020-02-05
17,John,John@name.email,114 Henderson St Chapel Hill NE 27514,1,1,closed,2018-05-17
18,Nicholas,Nicholas@name.email,3614 S 31st St Temple TX 76502,1,1,closed,2018-08-10
19,Andrew,Andrew@name.email,2914 M St NW Washington DE 20007,1,1,closed,2020-03-14
20,Andrew,Andrew@name.email,2914 M St NW Washington DE 20007,1,1,open,2020-12-16
21,David,David@name.email,2801 Interstate 20 Hudson Oaks TX 76087,1,1,open,2020-06-11
22,Christopher,Christopher@name.email,58080 Twentynine Palms Hwy Yucca Valley CA 92284,1,1,open,2020-06-17
23,Anthony,Anthony@name.email,2724 W Deyoung St Marion IN 62959,1,1,open,2020-11-07
24,Ryan,Ryan@name.email,215 Annis Rd South Amherst OH 44001,1,1,open,2019-11-25
